Title,Description,Link
FWS Boundaries,"Department of the Interior —
These boundaries are simplified from the U.S. Fish and Wildlife Service Real Estate Interest data layer containing polygons representing tracts of land (parcels) in...",https://catalog.data.gov/dataset/fws-boundaries-bc46a
FWS National Realty Tracts - Simplified,"Department of the Interior —
These boundaries are simplified from the U.S. Fish and Wildlife Service Real Estate Interest data layer containing polygons representing tracts of land (parcels) in...",https://catalog.data.gov/dataset/fws-national-realty-tracts-simplified-70139
Storefront Improvement Program Grants Disbursed,"City of Philadelphia —
This data set reflects the recipients, award amounts, and project sites for grant money disbursed by the Philadelphia Commerce Department for the Storefront...",https://catalog.data.gov/dataset/storefront-improvement-program-grants-disbursed
Real Estate Tax Balances,"City of Philadelphia —
Data about real estate accounts with tax balances. The aggregated datasets include both accounts with overdue balances (property owner owes a late balance in the...",https://catalog.data.gov/dataset/real-estate-tax-balances
Redevelopment Certified Areas,"City of Philadelphia —
Development certified areas, i.e. areas deemed blighted and eligible for urban renewal by the Philadelphia City Planning Commission under the amended Pennsylvania...",https://catalog.data.gov/dataset/redevelopment-certified-areas
PWD Stormwater Billing Parcels,"City of Philadelphia —
The primary purpose of PWD_PARCEL layer is to calculate parcel-based stormwater charges for PWD customers under the new parcel-based stormwater billing program. The...",https://catalog.data.gov/dataset/pwd-stormwater-billing-parcels
PWD Geotechnical Tests,"City of Philadelphia —
BACKGROUND - The objective of geotechnical testing is to help determine the suitability of a site for green stormwater infrastructure. The tests are used to calculate...",https://catalog.data.gov/dataset/pwd-geotechnical-tests
Street Centerlines,"City of Philadelphia —
Used citywide as base layer for many purposes/applications. The street centerline is available for reference purposes only and does not represent exact engineering...",https://catalog.data.gov/dataset/street-centerlines-70985
PPR Playgrounds,"City of Philadelphia —
Displays the locations of playgrounds within PPR Boundaries. Playgrounds ARE designated as similar age range equipment within a definable distance (not each piece of...",https://catalog.data.gov/dataset/ppr-playgrounds
PPR Properties,"City of Philadelphia —
Locations and boundaries for properties that Philadelphia Parks and Recreation (PPR) has responsibility for or has a distinct role in the maintenance or management.",https://catalog.data.gov/dataset/ppr-properties
Zoning Base Districts,"City of Philadelphia —
Polygon boundaries of Zoning Base Districts based on existing City zoning\ districts with revised codes applied per enactment of the new Zoning Code of December\...",https://catalog.data.gov/dataset/zoning-base-districts
Zillow (Phila. only),"City of Philadelphia —
Searchable online database of homes for sale, rent, and not currently on the market, with value estimator, market report, and real-estate trend tool. Users search by...",https://catalog.data.gov/dataset/zillow-phila-only
Vacant Property Indicators,"City of Philadelphia —
The location of properties across Philadelphia that are likely to be a vacant lot or vacant building based on an assessment of City of Philadelphia administrative...",https://catalog.data.gov/dataset/vacant-property-indicators
Vacant Lot Cleanups,"City of Philadelphia —
Dates and locations of when lots were cleaned (removing weeds, debris, etc.) through the City of Philadelphia's Community Life Improvement Program.",https://catalog.data.gov/dataset/vacant-lot-cleanups-d13ef
Traffic Preventative Maintenance Districts,"City of Philadelphia —
This layer was developed to aid the Traffic Division in planning, organizing, and maintaining traffic flow within the City of Philadelphia. Examples include: the...",https://catalog.data.gov/dataset/traffic-preventative-maintenance-districts
Traffic Calming Devices,"City of Philadelphia —
Point-based dataset showing the approximate locations where Traffic Calming Devices exist in the street to reduce speeding of motor vehicles. Traffic Calming Devices...",https://catalog.data.gov/dataset/traffic-calming-devices
Taking Care of Business (TCB) Clean Corridors Program,"City of Philadelphia —
Philadelphia Taking Care of Business (PHL TCB) Clean Corridors Program funds community-based nonprofits to sweep sidewalks and remove litter within neighborhood...",https://catalog.data.gov/dataset/taking-care-of-business-tcb-clean-corridors-program
Street Poles,"City of Philadelphia —
This layer was developed to aid the Street Lighting Division in planning, referencing, and maintaining the active street poles within the City of Philadelphia....",https://catalog.data.gov/dataset/street-poles
Street Place Names,"City of Philadelphia —
A listing of ""places"" and their corresponding addresses to be used for geocoding.",https://catalog.data.gov/dataset/street-place-names
Street Nodes,"City of Philadelphia —
The street nodes layer was developed for use by agencies citywide including PWD, PCPC, Police, BRT, Health, etc.",https://catalog.data.gov/dataset/street-nodes-8aa12
